TimeOfProc,UTC,File,CRC,DataSize,MissionID,STEUMod,InternalTime,centroid_numStars,liebe_succeed,liebe_sraTime,liebe_possibleMatch,liebeAD_succeed,liebeAD_vfyTime,liebeAD_numStarsSRA,liebeAD_ID1,liebeAD_ID2,liebeAD_ID3,liebeAD_Qeci2stsCoarse_w,liebeAD_Qeci2stsCoarse_i,liebeAD_Qeci2stsCoarse_j,liebeAD_Qeci2stsCoarse_k,liebeAD_numStarsVfyAD,liebeAD_qualityliebeAD_Qeci2sts_w,liebeAD_Qeci2sts_i,liebeAD_Qeci2sts_j,liebeAD_Qeci2sts_k,liebeProc_boreRA,liebeProc_boreDEC,liebeProc_Qeci2sat_w,liebeProc_Qeci2sat_i,liebeProc_Qeci2sat_j,liebeProc_Qeci2sat_k,centThresh_maxInt,centThresh_areaLargerThan,liebe_cat,liebeTol_minStar,liebeTol_angDist,liebeTol_coneDist,vfyTol_minDist,vfyTol_minStar,vfyTol_minQuality,pred_jday,pred_canSTS,pred_isSSA,pred_ELA,pred_x_ECI,pred_y_ECI,pred_z_ECI,pred_vx_ECI,pred_vy_ECI,pred_vz_ECI,pred_lat,pred_long,pred_alt,pred_Qeci2sts_w,pred_Qeci2sts_i,pred_Qeci2sts_j,pred_Qeci2sts_k,pred_boreRA,pred_boreDEC,pred_Qeci2sat_w,pred_Qeci2sat_i,pred_Qeci2sat_j,pred_Qeci2sat_k,adVcoarse,coarseVpred,adVpred,
2016-04-27 18:18:25,16-Jan-2016 21:21:30,569AB45A,1,716,2016011621,1,29,10,1,0.020567,7,1,0.015341,3,4887,4908,4878,0.51755,0.17791,-0.43076,0.71759,10,1,0.51744,0.17805,-0.43079,0.71762,256.6617,34.4328,-0.11968,-0.18863,0.54288,0.80955,204,3,pattern_catalogue_doublestarM6_3_MUC4_5_PUC0_1,3,0.1,1.3,12,5,0.65,2457404.3899,1,0,54.8154,-5115031.0538,-4408476.1311,-1541233.5496,5078.3405,-5546.9343,-990.0421,-13.0002,144.8482,549237.1936,0.51528,0.18669,-0.43476,0.71457,257.4431,33.5228,-0.12243,-0.18828,0.53455,0.81475,0.020785,1.1869,1.1702,
2016-04-27 18:18:25,16-Jan-2016 21:21:40,569AB464,1,700,2016011621,1,39,8,1,0.017657,25,1,0.026521,3,4887,4933,4949,0.51799,0.17823,-0.43053,0.71733,8,1,0.51753,0.17806,-0.4309,0.71748,256.6478,34.4184,-0.11954,-0.18855,0.5428,0.80964,204,3,pattern_catalogue_doublestarM6_3_MUC4_5_PUC0_1,3,0.1,1.3,12,5,0.65,2457404.39,1,0,55.11,-5063941.2085,-4463680.0519,-1551041.1317,5139.4576,-5493.6637,-971.4238,-13.0832,145.4447,549255.2977,0.51528,0.18669,-0.43476,0.71457,257.4431,33.5227,-0.12243,-0.18828,0.53455,0.81475,0.072779,1.1711,1.1616,
2016-04-27 18:18:25,16-Jan-2016 21:21:50,569AB46E,1,684,2016011621,1,49,8,1,0.016876,9,1,0.010323,3,4887,4908,4933,0.51866,0.17843,-0.43049,0.71682,8,1,0.5174,0.1778,-0.43095,0.71762,256.6285,34.4259,-0.11945,-0.1888,0.54294,0.80951,204,3,pattern_catalogue_doublestarM6_3_MUC4_5_PUC0_1,3,0.1,1.3,12,5,0.65,2457404.3902,1,0,55.4012,-5012243.0605,-4518348.1796,-1560661.9797,5199.9574,-5439.7335,-952.6886,-13.1646,146.0416,549272.0969,0.51528,0.18669,-0.43476,0.71457,257.4431,33.5226,-0.12243,-0.18828,0.53455,0.81475,0.19299,1.1621,1.1864,
2016-04-27 18:18:26,16-Jan-2016 21:22:00,569AB478,1,696,2016011621,1,59,9,1,0.017313,20,1,0.022405,3,4887,4878,4933,0.51808,0.17802,-0.43082,0.71714,9,1,0.51768,0.17785,-0.43104,0.71734,256.6048,34.4119,-0.11923,-0.1885,0.54285,0.80967,204,3,pattern_catalogue_doublestarM6_3_MUC4_5_PUC0_1,3,0.1,1.3,12,5,0.65,2457404.3903,1,0,55.689,-4959943.2373,-4572473.5129,-1570094.8588,5259.8322,-5385.1507,-933.8388,-13.2444,146.639,549287.585,0.51528,0.18668,-0.43476,0.71457,257.4431,33.5225,-0.12243,-0.18828,0.53455,0.81475,0.060036,1.1738,1.1754,
2016-04-27 18:18:26,16-Jan-2016 21:22:10,569AB482,1,684,2016011621,1,69,8,1,0.017234,9,1,0.01081,3,4887,4908,4933,0.51863,0.17824,-0.4307,0.71676,8,1,0.51731,0.17758,-0.43117,0.71759,256.5964,34.4098,-0.11919,-0.18901,0.54294,0.8095,204,3,pattern_catalogue_doublestarM6_3_MUC4_5_PUC0_1,3,0.1,1.3,12,5,0.65,2457404.3904,1,0,55.9733,-4907047.8156,-4626049.7761,-1579338.6733,5319.0751,-5329.9214,-914.8766,-13.3227,147.2367,549301.7562,0.51528,0.18668,-0.43476,0.71458,257.4431,33.5225,-0.12243,-0.18828,0.53454,0.81475,0.20114,1.1675,1.1964,
2016-04-27 18:18:26,16-Jan-2016 21:22:20,569AB48C,1,644,2016011621,1,79,7,1,0.017685,23,1,0.022287,3,4887,4933,4949,0.51809,0.17803,-0.43082,0.71714,7,1,0.51732,0.17761,-0.43126,0.71753,256.5933,34.3979,-0.11914,-0.189,0.54286,0.80956,204,3,pattern_catalogue_doublestarM6_3_MUC4_5_PUC0_1,3,0.1,1.3,12,5,0.65,2457404.3905,1,0,56.254,-4853562.9336,-4679070.7506,-1588392.3471,5377.6792,-5274.0522,-895.8043,-13.3993,147.8349,549314.6047,0.51528,0.18668,-0.43476,0.71458,257.4431,33.5224,-0.12243,-0.18828,0.53454,0.81475,0.12109,1.1742,1.188,
2016-04-27 18:18:27,16-Jan-2016 21:22:30,569AB496,1,640,2016011621,1,89,7,1,0.017714,23,1,0.022909,3,4887,4933,4949,0.51842,0.17803,-0.43094,0.71683,7,1,0.51742,0.1775,-0.43144,0.71737,256.5603,34.3817,-0.11887,-0.18897,0.54282,0.80963,204,3,pattern_catalogue_doublestarM6_3_MUC4_5_PUC0_1,3,0.1,1.3,12,5,0.65,2457404.3906,1,0,56.531,-4799495.4466,-4731529.6451,-1597254.7179,5435.6372,-5217.5501,-876.6243,-13.4744,148.4335,549326.1251,0.51528,0.18668,-0.43476,0.71458,257.4431,33.5223,-0.12243,-0.18828,0.53454,0.81475,0.15543,1.1712,1.1901,
2016-04-27 18:18:27,16-Jan-2016 21:22:40,569AB4A0,1,632,2016011621,1,99,6,1,0.017729,23,1,0.023064,3,4887,4933,4949,0.51794,0.1778,-0.43118,0.71708,6,1,0.51699,0.17729,-0.43159,0.71765,256.5639,34.3747,-0.11891,-0.18953,0.54285,0.80948,204,3,pattern_catalogue_doublestarM6_3_MUC4_5_PUC0_1,3,0.1,1.3,12,5,0.65,2457404.3907,1,0,56.8044,-4744851.6351,-4783420.3768,-1605924.7561,5492.9422,-5160.4216,-857.3388,-13.5478,149.0324,549336.3122,0.51528,0.18668,-0.43476,0.71458,257.443,33.5222,-0.12243,-0.18828,0.53454,0.81475,0.14757,1.1745,1.2056,
2016-04-27 18:18:27,16-Jan-2016 21:22:50,569AB4AA,1,628,2016011621,1,109,8,1,0.017857,22,1,0.022229,3,4887,4933,4949,0.51844,0.17794,-0.43125,0.71665,8,1,0.51741,0.17746,-0.43176,0.7172,256.5356,34.3451,-0.1186,-0.18906,0.54263,0.80978,204,3,pattern_catalogue_doublestarM6_3_MUC4_5_PUC0_1,3,0.1,1.3,12,5,0.65,2457404.3909,1,0,57.074,-4689637.8392,-4834736.9218,-1614401.4521,5549.5877,-5102.6734,-837.9501,-13.6195,149.6318,549345.1609,0.51528,0.18668,-0.43476,0.71458,257.443,33.5221,-0.12243,-0.18829,0.53454,0.81475,0.1558,1.1632,1.1768,
2016-04-27 18:18:28,16-Jan-2016 21:23:00,569AB4B4,1,640,2016011621,1,119,8,1,0.017443,25,1,0.022501,3,4887,4933,4949,0.51806,0.17778,-0.43152,0.71679,8,1,0.51745,0.17743,-0.432,0.71703,256.5122,34.3181,-0.11836,-0.18907,0.5425,0.8099,204,3,pattern_catalogue_doublestarM6_3_MUC4_5_PUC0_1,3,0.1,1.3,12,5,0.65,2457404.391,1,0,57.3397,-4633861.1348,-4885472.7065,-1622683.7174,5605.5665,-5044.3128,-818.4605,-13.6896,150.2315,549352.6664,0.51528,0.18668,-0.43477,0.71458,257.443,33.522,-0.12243,-0.18829,0.53454,0.81475,0.10158,1.1602,1.1689,
