TimeOfProc,UTC,File,CRC,DataSize,MissionID,STEUMod,InternalTime,centroid_numStars,liebe_succeed,liebe_sraTime,liebe_possibleMatch,liebeAD_succeed,liebeAD_vfyTime,liebeAD_numStarsSRA,liebeAD_ID1,liebeAD_ID2,liebeAD_ID3,liebeAD_Qeci2stsCoarse_w,liebeAD_Qeci2stsCoarse_i,liebeAD_Qeci2stsCoarse_j,liebeAD_Qeci2stsCoarse_k,liebeAD_numStarsVfyAD,liebeAD_qualityliebeAD_Qeci2sts_w,liebeAD_Qeci2sts_i,liebeAD_Qeci2sts_j,liebeAD_Qeci2sts_k,liebeProc_boreRA,liebeProc_boreDEC,liebeProc_Qeci2sat_w,liebeProc_Qeci2sat_i,liebeProc_Qeci2sat_j,liebeProc_Qeci2sat_k,centThresh_maxInt,centThresh_areaLargerThan,liebe_cat,liebeTol_minStar,liebeTol_angDist,liebeTol_coneDist,vfyTol_minDist,vfyTol_minStar,vfyTol_minQuality,pred_jday,pred_canSTS,pred_isSSA,pred_ELA,pred_x_ECI,pred_y_ECI,pred_z_ECI,pred_vx_ECI,pred_vy_ECI,pred_vz_ECI,pred_lat,pred_long,pred_alt,pred_Qeci2sts_w,pred_Qeci2sts_i,pred_Qeci2sts_j,pred_Qeci2sts_k,pred_boreRA,pred_boreDEC,pred_Qeci2sat_w,pred_Qeci2sat_i,pred_Qeci2sat_j,pred_Qeci2sat_k,adVcoarse,coarseVpred,adVpred,
2016-04-27 18:21:47,22-Jan-2016 15:45:00,56A24E7C,1,712,2016012215,2,29,9,1,0.016694,9,1,0.014329,3,6159,6125,6148,0.86389,0.1192,0.33782,-0.35407,9,1,0.8635,0.11834,0.33812,-0.35501,318.3607,48.0168,0.13509,0.25194,-0.53533,-0.7948,204,3,pattern_catalogue_doublestarM6_3_MUC4_5_PUC0_1,3,0.1,1.3,12,5,0.65,2457410.1563,0,0,30.3877,-2298622.7887,-6387051.0764,-1376211.2059,6952.675,-2768.858,1238.9603,-11.5578,-107.2569,548902.4627,0.85533,0.13307,0.35156,-0.35651,316.6408,45.8393,-0.1295,-0.24284,0.52158,0.8076,0.15616,2.4589,2.4755,
2016-04-27 18:21:47,22-Jan-2016 15:45:10,56A24E86,1,696,2016012215,2,39,13,1,0.016738,7,1,0.010935,3,6159,6125,6074,0.86352,0.11876,0.33789,-0.35505,13,1,0.86355,0.11831,0.33805,-0.35496,318.3657,48.0259,0.13511,0.25202,-0.53535,-0.79475,204,3,pattern_catalogue_doublestarM6_3_MUC4_5_PUC0_1,3,0.1,1.3,12,5,0.65,2457410.1564,0,0,30.8663,-2228958.9186,-6414355.7453,-1363738.7847,6979.8632,-2691.9855,1255.4593,-11.451,-106.6677,548883.783,0.85534,0.13307,0.35156,-0.35651,316.6406,45.8394,-0.12949,-0.24284,0.52158,0.8076,0.055826,2.4604,2.4854,
2016-04-27 18:21:47,22-Jan-2016 15:45:20,56A24E90,1,644,2016012215,2,49,9,1,0.017014,8,1,0.012294,3,6159,6125,6074,0.86351,0.11862,0.338,-0.35501,9,1,0.86363,0.1183,0.33819,-0.35465,318.3939,48.0096,0.13536,0.25216,-0.53515,-0.7948,204,3,pattern_catalogue_doublestarM6_3_MUC4_5_PUC0_1,3,0.1,1.3,12,5,0.65,2457410.1565,0,0,31.3446,-2159027.0701,-6440890.1624,-1351102.0738,7006.2134,-2614.7889,1271.8073,-11.3428,-106.0789,548863.914,0.85534,0.13308,0.35156,-0.35651,316.6405,45.8395,-0.12949,-0.24285,0.52158,0.8076,0.060672,2.4635,2.4818,
2016-04-27 18:21:47,22-Jan-2016 15:45:30,56A24E9A,1,632,2016012215,2,59,11,1,0.017142,8,1,0.012249,3,6159,6125,6074,0.86341,0.11823,0.33803,-0.35537,11,1,0.86375,0.1181,0.33808,-0.35453,318.4284,48.0308,0.13552,0.25231,-0.53526,-0.79465,204,3,pattern_catalogue_doublestarM6_3_MUC4_5_PUC0_1,3,0.1,1.3,12,5,0.65,2457410.1566,0,0,31.8224,-2088836.2028,-6466650.922,-1338302.6958,7031.7222,-2537.278,1288.0021,-11.2333,-105.4907,548842.8629,0.85534,0.13308,0.35156,-0.3565,316.6403,45.8395,-0.12949,-0.24285,0.52158,0.8076,0.10541,2.4842,2.5122,
2016-04-27 18:21:48,22-Jan-2016 15:45:40,56A24EA4,1,648,2016012215,2,69,8,1,0.016924,8,1,0.012061,3,6159,6125,6074,0.86386,0.11849,0.33798,-0.35422,8,1,0.86387,0.11822,0.33821,-0.35408,318.4464,48.0109,0.13577,0.25258,-0.53494,-0.79474,204,3,pattern_catalogue_doublestarM6_3_MUC4_5_PUC0_1,3,0.1,1.3,12,5,0.65,2457410.1567,0,0,32.2997,-2018394.4641,-6491635.0328,-1325342.1403,7056.3868,-2459.4618,1304.0419,-11.1225,-104.9029,548820.6371,0.85534,0.13308,0.35156,-0.3565,316.6401,45.8396,-0.12949,-0.24285,0.52158,0.8076,0.04474,2.4983,2.5044,
2016-04-27 18:21:48,22-Jan-2016 15:45:50,56A24EAE,1,636,2016012215,2,79,10,1,0.016746,6,1,0.010025,3,6159,6125,6074,0.86385,0.1183,0.33796,-0.35434,10,1,0.86386,0.11779,0.33816,-0.35429,318.4964,48.035,0.13592,0.25239,-0.5353,-0.79453,204,3,pattern_catalogue_doublestarM6_3_MUC4_5_PUC0_1,3,0.1,1.3,12,5,0.65,2457410.1568,0,0,32.7766,-1947710.0272,-6515839.584,-1312221.9141,7080.2041,-2381.3493,1319.9249,-11.0104,-104.3156,548797.2439,0.85534,0.13308,0.35156,-0.3565,316.6399,45.8397,-0.12949,-0.24285,0.52158,0.8076,0.063673,2.512,2.5394,
2016-04-27 18:21:48,22-Jan-2016 15:46:00,56A24EB8,1,604,2016012215,2,89,9,1,0.016667,8,1,0.012986,3,6159,6125,6148,0.86437,0.11845,0.33792,-0.35306,9,1,0.86392,0.11746,0.33819,-0.35423,318.5517,48.0442,0.13619,0.25236,-0.53544,-0.7944,204,3,pattern_catalogue_doublestarM6_3_MUC4_5_PUC0_1,3,0.1,1.3,12,5,0.65,2457410.1569,0,0,33.2529,-1876791.9484,-6539261.467,-1298943.7016,7103.1712,-2302.9504,1335.649,-10.8969,-103.7287,548772.691,0.85534,0.13308,0.35156,-0.3565,316.6397,45.8397,-0.12949,-0.24285,0.52158,0.8076,0.1858,2.5453,2.5661,
2016-04-27 18:21:48,22-Jan-2016 15:46:10,56A24EC2,1,616,2016012215,2,99,9,1,0.017032,8,1,0.012617,3,6159,6125,6074,0.86387,0.11793,0.33801,-0.35436,9,1,0.864,0.11764,0.33818,-0.35396,318.5417,48.0377,0.13622,0.2526,-0.53522,-0.79447,204,3,pattern_catalogue_doublestarM6_3_MUC4_5_PUC0_1,3,0.1,1.3,12,5,0.65,2457410.1571,0,0,33.7287,-1805648.4591,-6561897.9609,-1285509.0481,7125.2854,-2224.2742,1351.2123,-10.7822,-103.1424,548746.9862,0.85534,0.13308,0.35156,-0.3565,316.6395,45.8398,-0.12949,-0.24285,0.52158,0.8076,0.062435,2.5377,2.5594,
2016-04-27 18:21:49,22-Jan-2016 15:46:20,56A24ECC,1,636,2016012215,2,109,9,1,0.016997,8,1,0.012918,3,6159,6125,6074,0.86383,0.11774,0.33818,-0.35436,9,1,0.86403,0.11749,0.33831,-0.35383,318.5795,48.0292,0.13646,0.25259,-0.53518,-0.79445,204,3,pattern_catalogue_doublestarM6_3_MUC4_5_PUC0_1,3,0.1,1.3,12,5,0.65,2457410.1572,0,0,34.2039,-1734287.8145,-6583746.4257,-1271919.5152,7146.5441,-2145.3297,1366.6132,-10.6662,-102.5565,548720.1373,0.85534,0.13308,0.35156,-0.3565,316.6393,45.8398,-0.12949,-0.24285,0.52158,0.8076,0.073066,2.5398,2.5659,
2016-04-27 18:21:49,22-Jan-2016 15:46:30,56A24ED6,1,612,2016012215,2,119,9,1,0.017303,10,1,0.016275,3,6159,6125,6074,0.86409,0.11784,0.33813,-0.35373,9,1,0.86411,0.11744,0.33836,-0.3536,318.6042,48.0257,0.13665,0.25273,-0.53509,-0.79444,204,3,pattern_catalogue_doublestarM6_3_MUC4_5_PUC0_1,3,0.1,1.3,12,5,0.65,2457410.1573,0,0,34.6786,-1662719.1574,-6604804.0539,-1258176.8476,7166.9445,-2066.1271,1381.8495,-10.549,-101.9711,548692.1526,0.85534,0.13309,0.35155,-0.3565,316.6391,45.8399,-0.12949,-0.24286,0.52158,0.8076,0.055144,2.5544,2.5735,
2016-04-27 18:21:49,22-Jan-2016 15:46:40,56A24EE0,1,608,2016012215,2,129,9,1,0.01673,11,1,0.017222,3,6159,6125,6074,0.86406,0.11753,0.33826,-0.3538,9,1,0.86406,0.11711,0.3385,-0.35369,318.6555,48.0225,0.13688,0.2525,-0.53525,-0.79436,204,3,pattern_catalogue_doublestarM6_3_MUC4_5_PUC0_1,3,0.1,1.3,12,5,0.65,2457410.1574,0,0,35.1525,-1590950.7949,-6625068.3974,-1244282.6446,7186.4844,-1986.6756,1396.9195,-10.4305,-101.3861,548663.04,0.85534,0.13309,0.35155,-0.3565,316.6389,45.84,-0.12949,-0.24286,0.52158,0.8076,0.057474,2.5675,2.5873,
2016-04-27 18:21:49,22-Jan-2016 15:46:50,56A24EEA,1,616,2016012215,2,139,9,1,0.016766,8,1,0.012409,3,6159,6125,6074,0.86418,0.11753,0.3383,-0.35346,9,1,0.86422,0.11713,0.33853,-0.35326,318.6819,48.0179,0.13714,0.25281,-0.53503,-0.79437,204,3,pattern_catalogue_doublestarM6_3_MUC4_5_PUC0_1,3,0.1,1.3,12,5,0.65,2457410.1575,0,0,35.6259,-1518991.0551,-6644537.0904,-1230238.5211,7205.1614,-1906.9841,1411.8215,-10.3108,-100.8017,548632.8079,0.85534,0.13309,0.35155,-0.3565,316.6387,45.84,-0.12949,-0.24286,0.52158,0.8076,0.057711,2.5754,2.5971,
2016-04-27 18:21:50,22-Jan-2016 15:47:00,56A24EF4,1,616,2016012215,2,149,8,1,0.016748,10,1,0.015493,3,6159,6125,6074,0.86427,0.11747,0.33826,-0.35331,8,1,0.86427,0.11718,0.33852,-0.35314,318.6817,48.0169,0.13717,0.25292,-0.53496,-0.79438,204,3,pattern_catalogue_doublestarM6_3_MUC4_5_PUC0_1,3,0.1,1.3,12,5,0.65,2457410.1576,0,0,36.0985,-1446849.1578,-6663207.6289,-1216046.2801,7222.9731,-1827.0631,1426.5536,-10.1899,-100.2177,548601.4648,0.85534,0.13309,0.35155,-0.3565,316.6385,45.8401,-0.12948,-0.24286,0.52158,0.8076,0.048154,2.589,2.5975,
2016-04-27 18:21:50,22-Jan-2016 15:47:10,56A24EFE,1,624,2016012215,2,159,9,1,0.016775,6,1,0.010168,3,6159,6125,6074,0.86418,0.11722,0.33844,-0.35343,9,1,0.86432,0.11692,0.33862,-0.35302,318.7336,48.0156,0.13746,0.2529,-0.535,-0.79431,204,3,pattern_catalogue_doublestarM6_3_MUC4_5_PUC0_1,3,0.1,1.3,12,5,0.65,2457410.1578,0,0,36.5705,-1374533.1856,-6681077.9111,-1201707.5151,7239.9175,-1746.9213,1441.1141,-10.0678,-99.6341,548569.0192,0.85534,0.13309,0.35155,-0.3565,316.6383,45.8401,-0.12948,-0.24286,0.52157,0.8076,0.063815,2.5907,2.6159,
