1	-89
1	-88
1	-87
1	-85
1	-54
1	-53
1	-52
1	-40
1	-39
1	-38
1	12
1	13
1	14
1	15
1	16
1	17
1	18
1	19
1	20
1	21
1	22
1	62
2	-89
2	-88
2	-87
2	-86
2	-85
2	-83
2	-57
2	-53
2	-52
2	-40
2	-39
2	-38
2	14
2	15
2	16
2	17
2	18
2	19
2	20
2	21
2	22
2	49
2	50
2	51
2	60
3	-89
3	-88
3	-87
3	-86
3	-84
3	-53
3	-52
3	-40
3	-39
3	-38
3	12
3	14
3	15
3	16
3	17
3	18
3	19
3	20
3	21
3	23
3	33
3	47
3	49
3	57
4	-89
4	-88
4	-87
4	-85
4	-60
4	-52
4	-38
4	-25
4	9
4	10
4	12
4	14
4	15
4	16
4	17
4	18
4	19
4	20
4	21
4	22
4	23
4	32
4	68
5	-89
5	-88
5	-87
5	-86
5	-85
5	-84
5	-39
5	-26
5	-25
5	-14
5	2
5	3
5	4
5	5
5	6
5	7
5	8
5	9
5	13
5	14
5	15
5	16
5	17
5	18
5	19
5	20
5	21
5	22
5	23
5	32
5	53
5	68
5	72
6	-89
6	-88
6	-87
6	-86
6	-85
6	-84
6	-83
6	-82
6	-81
6	-53
6	-1
6	2
6	3
6	4
6	5
6	6
6	7
6	8
6	9
6	13
6	14
6	15
6	16
6	17
6	18
6	19
6	20
6	21
6	22
6	44
6	67
6	68
7	-89
7	-88
7	-87
7	-86
7	-53
7	-25
7	-3
7	3
7	4
7	5
7	6
7	7
7	8
7	9
7	10
7	12
7	13
7	14
7	15
7	16
7	17
7	18
7	19
7	20
7	21
7	22
7	68
8	-89
8	-88
8	-87
8	-86
8	-85
8	-25
8	-5
8	-4
8	3
8	4
8	5
8	11
8	13
8	14
8	15
8	16
8	17
8	18
8	19
8	20
8	21
8	67
8	81
9	-89
9	-88
9	-87
9	-86
9	-85
9	-84
9	-53
9	-38
9	-6
9	-5
9	14
9	15
9	16
9	17
9	18
9	19
10	-89
10	-88
10	-87
10	-86
10	-85
10	-84
10	14
10	16
10	17
10	18
10	81
11	-89
11	-88
11	-87
11	-86
11	-85
11	-84
11	-83
11	-38
11	15
11	16
11	17
11	52
12	-89
12	-88
12	-87
12	-86
12	-85
12	-84
12	-52
12	-41
12	-40
12	-39
12	-38
12	15
12	16
12	50
12	51
12	52
12	60
13	-89
13	-88
13	-87
13	-86
13	-85
13	-84
13	-42
13	-40
13	-39
13	-38
13	50
13	51
13	52
13	53
13	81
13	82
13	84
14	-89
14	-88
14	-87
14	-86
14	-85
14	-84
14	-83
14	-82
14	-65
14	-64
14	-41
14	-40
14	-39
14	-38
14	15
14	50
14	51
14	52
14	53
14	65
15	-89
15	-88
15	-87
15	-86
15	-85
15	-84
15	-83
15	-82
15	-64
15	-63
15	-40
15	-38
15	14
15	15
15	45
15	46
15	47
15	48
15	49
15	50
15	51
15	52
15	53
15	82
16	-89
16	-88
16	-87
16	-86
16	-85
16	-84
16	-83
16	-82
16	-51
16	44
16	45
16	46
16	47
16	48
16	49
16	50
16	51
16	52
17	-89
17	-88
17	-87
17	-86
17	-85
17	-84
17	-27
17	-18
17	-17
17	-15
17	45
17	46
17	47
17	48
17	49
17	50
17	51
17	52
18	-89
18	-88
18	-87
18	-86
18	-85
18	-84
18	-83
18	-63
18	-29
18	-28
18	-27
18	-26
18	-20
18	-15
18	46
18	47
18	48
18	49
18	50
18	51
19	-89
19	-88
19	-87
19	-86
19	-85
19	-84
19	-83
19	-60
19	-33
19	-32
19	-31
19	-30
