TimeOfProc,UTC,File,CRC,DataSize,MissionID,STEUMod,InternalTime,centroid_numStars,liebe_succeed,liebe_sraTime,liebe_possibleMatch,liebeAD_succeed,liebeAD_vfyTime,liebeAD_numStarsSRA,liebeAD_ID1,liebeAD_ID2,liebeAD_ID3,liebeAD_Qeci2stsCoarse_w,liebeAD_Qeci2stsCoarse_i,liebeAD_Qeci2stsCoarse_j,liebeAD_Qeci2stsCoarse_k,liebeAD_numStarsVfyAD,liebeAD_qualityliebeAD_Qeci2sts_w,liebeAD_Qeci2sts_i,liebeAD_Qeci2sts_j,liebeAD_Qeci2sts_k,liebeProc_boreRA,liebeProc_boreDEC,liebeProc_Qeci2sat_w,liebeProc_Qeci2sat_i,liebeProc_Qeci2sat_j,liebeProc_Qeci2sat_k,centThresh_maxInt,centThresh_areaLargerThan,liebe_cat,liebeTol_minStar,liebeTol_angDist,liebeTol_coneDist,vfyTol_minDist,vfyTol_minStar,vfyTol_minQuality,pred_jday,pred_canSTS,pred_isSSA,pred_ELA,pred_x_ECI,pred_y_ECI,pred_z_ECI,pred_vx_ECI,pred_vy_ECI,pred_vz_ECI,pred_lat,pred_long,pred_alt,pred_Qeci2sts_w,pred_Qeci2sts_i,pred_Qeci2sts_j,pred_Qeci2sts_k,pred_boreRA,pred_boreDEC,pred_Qeci2sat_w,pred_Qeci2sat_i,pred_Qeci2sat_j,pred_Qeci2sat_k,adVcoarse,coarseVpred,adVpred,
2016-04-27 18:20:01,19-Jan-2016 17:39:00,569E74B4,1,536,2016011917,1,29,6,1,0.016662,9,1,0.010706,3,4887,4908,4933,0.49523,0.17004,-0.44704,0.72525,6,1,0.49312,0.16888,-0.44771,0.72654,256.5015,32.8241,-0.11549,-0.21986,0.53664,0.80643,204,3,pattern_catalogue_doublestarM6_3_MUC4_5_PUC0_1,3,0.1,1.3,12,5,0.65,2457407.2354,1,0,48.5167,-5820218.6959,-3361585.0007,-1668804.5465,3921.8075,-6457.3693,-688.9039,-14.1033,-173.081,548449.0256,0.48992,0.1785,-0.4533,0.72293,257.3687,31.6891,-0.11805,-0.22045,0.52651,0.81256,0.32273,1.3769,1.3894,
2016-04-27 18:20:01,19-Jan-2016 17:39:10,569E74BE,1,508,2016011917,1,39,4,1,0.017601,24,0,0.032004,,,,,,,,,,,,,,,,,,,,,204,3,pattern_catalogue_doublestarM6_3_MUC4_5_PUC0_1,3,0.1,1.3,12,5,0.65,2457407.2355,1,0,48.9076,-5780651.57,-3425955.918,-1675593.0372,3991.4867,-6416.6008,-668.7604,-14.1608,-172.4785,548503.2102,0.48992,0.1785,-0.4533,0.72293,257.3687,31.6891,-0.11805,-0.22046,0.52651,0.81256,
2016-04-27 18:20:01,19-Jan-2016 17:39:20,569E74C8,1,460,2016011917,1,49,5,1,0.017403,20,1,0.02132,3,4887,4933,4949,0.49534,0.16973,-0.44706,0.72523,5,1,0.49312,0.16848,-0.44784,0.72656,256.452,32.8276,-0.11517,-0.22003,0.53682,0.80632,204,3,pattern_catalogue_doublestarM6_3_MUC4_5_PUC0_1,3,0.1,1.3,12,5,0.65,2457407.2356,1,0,49.2964,-5740389.8818,-3489915.5517,-1682179.7139,4060.6852,-6375.0624,-648.5368,-14.2167,-171.8756,548556.1198,0.48992,0.1785,-0.4533,0.72293,257.3688,31.689,-0.11805,-0.22046,0.52651,0.81256,0.34083,1.4064,1.4204,
2016-04-27 18:20:02,19-Jan-2016 17:39:30,569E74D2,1,604,2016011917,1,59,7,1,0.017233,16,1,0.016984,3,4878,4887,4834,0.49315,0.16821,-0.44793,0.72655,7,1,0.49308,0.16827,-0.44793,0.72658,256.4277,32.8259,-0.115,-0.22017,0.53689,0.80626,204,3,pattern_catalogue_doublestarM6_3_MUC4_5_PUC0_1,3,0.1,1.3,12,5,0.65,2457407.2358,1,0,49.6831,-5699438.8068,-3553455.7131,-1688563.7344,4129.3941,-6332.7592,-628.2355,-14.2708,-171.2725,548607.7448,0.48992,0.1785,-0.4533,0.72293,257.3689,31.689,-0.11805,-0.22046,0.52651,0.81256,0.011517,1.4416,1.4349,
2016-04-27 18:20:02,19-Jan-2016 17:39:40,569E74DC,1,588,2016011917,1,69,4,1,0.017575,23,0,0.031192,,,,,,,,,,,,,,,,,,,,,204,3,pattern_catalogue_doublestarM6_3_MUC4_5_PUC0_1,3,0.1,1.3,12,5,0.65,2457407.2359,1,0,50.0676,-5657802.9492,-3616569.2899,-1694744.3856,4197.6059,-6289.696,-607.8589,-14.3231,-170.6691,548658.0764,0.48992,0.1785,-0.4533,0.72293,257.369,31.689,-0.11805,-0.22046,0.52651,0.81256,
2016-04-27 18:20:02,19-Jan-2016 17:39:50,569E74E6,1,568,2016011917,1,79,6,1,0.017858,23,1,0.024019,3,4887,4933,4949,0.49439,0.16865,-0.44733,0.72597,6,1,0.49256,0.16771,-0.448,0.72702,256.4056,32.8431,-0.11494,-0.22091,0.53718,0.80587,204,3,pattern_catalogue_doublestarM6_3_MUC4_5_PUC0_1,3,0.1,1.3,12,5,0.65,2457407.236,1,0,50.4499,-5615487.6594,-3679248.202,-1700720.8774,4265.3118,-6245.8784,-587.4096,-14.3738,-170.0654,548707.1054,0.48992,0.1785,-0.4533,0.72293,257.369,31.689,-0.11805,-0.22046,0.52651,0.81256,0.27539,1.4586,1.4865,
2016-04-27 18:20:02,19-Jan-2016 17:40:00,569E74F0,1,568,2016011917,1,89,5,1,0.017452,24,1,0.023575,3,4887,4933,4949,0.49437,0.16872,-0.44723,0.72602,5,1,0.49238,0.16759,-0.44794,0.7272,256.4115,32.8555,-0.11503,-0.22112,0.53728,0.80573,204,3,pattern_catalogue_doublestarM6_3_MUC4_5_PUC0_1,3,0.1,1.3,12,5,0.65,2457407.2361,1,0,50.8299,-5572497.8676,-3741485.1845,-1706492.5196,4332.504,-6201.3115,-566.89,-14.4226,-169.4614,548754.8233,0.48992,0.1785,-0.4533,0.72294,257.3691,31.6889,-0.11805,-0.22046,0.52651,0.81256,0.30616,1.4584,1.503,
2016-04-27 18:20:03,19-Jan-2016 17:40:10,569E74FA,1,564,2016011917,1,99,6,1,0.017656,22,1,0.02281,3,4887,4933,4949,0.49431,0.16859,-0.44722,0.7261,6,1,0.49243,0.16749,-0.44797,0.72717,256.3953,32.856,-0.11492,-0.22111,0.53732,0.80572,204,3,pattern_catalogue_doublestarM6_3_MUC4_5_PUC0_1,3,0.1,1.3,12,5,0.65,2457407.2362,1,0,51.2075,-5528838.5738,-3803273.0182,-1712058.6428,4399.1748,-6156.0004,-546.3024,-14.4697,-168.8571,548801.222,0.48992,0.1785,-0.4533,0.72294,257.3691,31.6889,-0.11805,-0.22046,0.52651,0.81256,0.29143,1.4705,1.5108,
2016-04-27 18:20:03,19-Jan-2016 17:40:20,569E7504,1,560,2016011917,1,109,5,1,0.017238,21,1,0.022368,3,4887,4933,4949,0.4942,0.16837,-0.44727,0.7262,5,1,0.4922,0.16723,-0.44799,0.72738,256.3852,32.8657,-0.11489,-0.22145,0.53746,0.80554,204,3,pattern_catalogue_doublestarM6_3_MUC4_5_PUC0_1,3,0.1,1.3,12,5,0.65,2457407.2363,1,0,51.5828,-5484515.386,-3864603.7933,-1717418.536,4465.3157,-6109.951,-525.6495,-14.5151,-168.2526,548846.2929,0.48991,0.1785,-0.4533,0.72294,257.3692,31.6889,-0.11805,-0.22046,0.52651,0.81255,0.30737,1.486,1.5381,
2016-04-27 18:20:03,19-Jan-2016 17:40:30,569E750E,1,360,2016011917,1,119,5,1,0.016655,10,1,0.011633,3,4887,4908,4933,0.49414,0.16852,-0.44731,0.72618,5,1,0.49232,0.16756,-0.44784,0.72731,256.4189,32.8691,-0.11512,-0.22118,0.53736,0.80565,204,3,pattern_catalogue_doublestarM6_3_MUC4_5_PUC0_1,3,0.1,1.3,12,5,0.65,2457407.2365,1,0,51.9557,-5439533.4657,-3925470.4014,-1722571.5802,4530.919,-6063.1685,-504.9336,-14.5586,-167.6478,548890.0284,0.48991,0.1785,-0.4533,0.72294,257.3692,31.6888,-0.11805,-0.22046,0.52651,0.81255,0.27671,1.4681,1.514,
