TimeOfProc,UTC,File,CRC,DataSize,MissionID,STEUMod,InternalTime,centroid_numStars,liebe_succeed,liebe_sraTime,liebe_possibleMatch,liebeAD_succeed,liebeAD_vfyTime,liebeAD_numStarsSRA,liebeAD_ID1,liebeAD_ID2,liebeAD_ID3,liebeAD_Qeci2stsCoarse_w,liebeAD_Qeci2stsCoarse_i,liebeAD_Qeci2stsCoarse_j,liebeAD_Qeci2stsCoarse_k,liebeAD_numStarsVfyAD,liebeAD_quality,liebeAD_Qeci2sts_w,liebeAD_Qeci2sts_i,liebeAD_Qeci2sts_j,liebeAD_Qeci2sts_k,liebeProc_boreRA,liebeProc_boreDEC,liebeProc_Qeci2sat_w,liebeProc_Qeci2sat_i,liebeProc_Qeci2sat_j,liebeProc_Qeci2sat_k,centThresh_maxInt,centThresh_areaLargerThan,liebe_cat,liebeTol_minStar,liebeTol_angDist,liebeTol_coneDist,vfyTol_minDist,vfyTol_minStar,vfyTol_minQuality,pred_jday,pred_canSTS,pred_isSSA,pred_ELA,pred_x_ECI,pred_y_ECI,pred_z_ECI,pred_vx_ECI,pred_vy_ECI,pred_vz_ECI,pred_lat,pred_long,pred_alt,pred_Qeci2sts_w,pred_Qeci2sts_i,pred_Qeci2sts_j,pred_Qeci2sts_k,pred_boreRA,pred_boreDEC,pred_Qeci2sat_w,pred_Qeci2sat_i,pred_Qeci2sat_j,pred_Qeci2sat_k,adVcoarse,coarseVpred,adVpred,
2016-05-17 10:28:32,07-Feb-2016 15:01:10,56B75C36,1,580,2016020715,2,29,10,1,0.021702,18,1,0.0587,3,116,151,153,0.84315,-0.1875,0.45229,-0.22222,10,1,0.84319,-0.18753,0.45186,-0.22292,7.7302,31.4204,0.45503,0.17477,-0.55934,-0.67047,140,2,pattern_catalogue_doublestarM6_3_MUC4_5_PUC0_1,3,0.1,1.3,12,5,0.65,2457426.1258,1,0,57.0869,4179297.1238,-5311554.6147,1482429.6004,6055.795,4448.0672,-1093.4191,12.5035,-54.0807,542161.42,0.86013,-0.1552,0.42149,-0.24173,4.5176,36.6206,-0.41311,-0.1992,0.57213,0.67994,0.095222,5.9118,5.8526,
2016-05-17 10:28:33,07-Feb-2016 15:01:20,56B75C40,1,612,2016020715,2,39,9,1,0.017188,18,1,0.00263,3,116,151,153,0.8431,-0.18766,0.45219,-0.22246,9,1,0.84321,-0.18747,0.45184,-0.22292,7.7252,31.4251,0.455,0.17481,-0.55933,-0.6705,140,2,pattern_catalogue_doublestarM6_3_MUC4_5_PUC0_1,3,0.1,1.3,12,5,0.65,2457426.1259,1,0,57.5347,4239602.9162,-5266754.4472,1471405.9138,6005.0916,4511.7758,-1111.2581,12.4101,-53.4858,542236.1799,0.86013,-0.15521,0.42149,-0.24173,4.518,36.6204,-0.41311,-0.1992,0.57213,0.67994,0.070651,5.9071,5.8464,
2016-05-17 10:28:33,07-Feb-2016 15:01:30,56B75C4A,1,568,2016020715,2,49,8,1,0.016915,17,1,0.002748,3,116,151,153,0.84321,-0.18741,0.45229,-0.22207,8,1,0.84321,-0.1874,0.45186,-0.22295,7.7146,31.4267,0.45494,0.1748,-0.55931,-0.67056,140,2,pattern_catalogue_doublestarM6_3_MUC4_5_PUC0_1,3,0.1,1.3,12,5,0.65,2457426.126,1,0,57.9801,4299397.8167,-5221320.0912,1460204.5505,5953.6668,4574.9386,-1128.9623,12.3153,-52.8914,542310.4859,0.86013,-0.15521,0.42149,-0.24173,4.5184,36.6202,-0.41311,-0.1992,0.57213,0.67994,0.11234,5.9087,5.8407,
2016-05-17 10:28:34,07-Feb-2016 15:01:40,56B75C54,1,544,2016020715,2,59,9,1,0.016926,17,1,0.002164,3,116,151,153,0.84314,-0.18768,0.45205,-0.22257,9,1,0.84325,-0.18747,0.45175,-0.22295,7.7286,31.4369,0.45494,0.17487,-0.55939,-0.67047,140,2,pattern_catalogue_doublestarM6_3_MUC4_5_PUC0_1,3,0.1,1.3,12,5,0.65,2457426.1262,1,0,58.423,4358674.8844,-5175256.8617,1448826.8255,5901.5267,4637.5483,-1146.5296,12.2189,-52.2975,542384.3339,0.86013,-0.15521,0.42149,-0.24173,4.5188,36.6199,-0.41312,-0.1992,0.57213,0.67994,0.062012,5.8925,5.8362,
2016-05-17 10:28:34,07-Feb-2016 15:01:50,56B75C5E,1,540,2016020715,2,69,9,1,0.016909,18,1,0.002084,3,116,151,153,0.84312,-0.18762,0.45217,-0.22248,9,1,0.84317,-0.18754,0.45181,-0.22308,7.7234,31.4257,0.45493,0.1747,-0.55946,-0.67046,140,2,pattern_catalogue_doublestarM6_3_MUC4_5_PUC0_1,3,0.1,1.3,12,5,0.65,2457426.1263,1,0,58.8634,4417427.2327,-5128570.1384,1437274.072,5848.6773,4699.5976,-1163.9578,12.1212,-51.704,542457.72,0.86013,-0.15522,0.42149,-0.24173,4.5192,36.6197,-0.41312,-0.1992,0.57214,0.67994,0.08144,5.9001,5.8428,
2016-05-17 10:28:35,07-Feb-2016 15:02:00,56B75C68,1,508,2016020715,2,79,8,1,0.01697,17,1,0.0019373,3,116,151,153,0.84316,-0.18756,0.45217,-0.22235,8,1,0.84322,-0.18741,0.4518,-0.223,7.7156,31.4328,0.4549,0.17481,-0.55937,-0.67053,140,2,pattern_catalogue_doublestarM6_3_MUC4_5_PUC0_1,3,0.1,1.3,12,5,0.65,2457426.1264,1,0,59.3013,4475647.3306,-5081265.9407,1425547.7839,5795.1255,4761.0785,-1181.2448,12.0219,-51.111,542530.6393,0.86013,-0.15522,0.42149,-0.24172,4.5196,36.6195,-0.41312,-0.1992,0.57214,0.67994,0.087667,5.8994,5.834,
2016-05-17 10:28:35,07-Feb-2016 15:02:10,56B75C72,1,512,2016020715,2,89,9,1,0.017023,18,1,0.002064,3,116,151,153,0.8432,-0.1873,0.45227,-0.22223,9,1,0.84318,-0.18739,0.45182,-0.22315,7.7022,31.4316,0.45481,0.1747,-0.55943,-0.67057,140,2,pattern_catalogue_doublestarM6_3_MUC4_5_PUC0_1,3,0.1,1.3,12,5,0.65,2457426.1265,1,0,59.7364,4533328.6525,-5033349.6053,1413649.2888,5740.8774,4821.9843,-1198.3887,11.9213,-50.5185,542603.0883,0.86013,-0.15522,0.4215,-0.24172,4.52,36.6192,-0.41312,-0.1992,0.57214,0.67993,0.11725,5.8909,5.8289,
2016-05-17 10:28:36,07-Feb-2016 15:02:20,56B75C7C,1,512,2016020715,2,99,8,1,0.017004,17,1,0.0019678,3,116,151,153,0.84316,-0.18748,0.45215,-0.22248,8,1,0.84322,-0.18733,0.45178,-0.22311,7.7014,31.44,0.45478,0.17479,-0.55941,-0.67058,140,2,pattern_catalogue_doublestarM6_3_MUC4_5_PUC0_1,3,0.1,1.3,12,5,0.65,2457426.1266,1,0,60.1688,4590463.8058,-4984827.3085,1401580.1249,5685.94,4882.3072,-1215.3873,11.8192,-49.9265,542675.0625,0.86013,-0.15523,0.4215,-0.24172,4.5204,36.619,-0.41313,-0.19919,0.57214,0.67993,0.085683,5.8861,5.8212,
2016-05-17 10:28:36,07-Feb-2016 15:02:30,56B75C86,1,508,2016020715,2,109,8,1,0.017096,18,1,0.0020414,3,116,151,153,0.84313,-0.18755,0.45213,-0.22257,8,1,0.84321,-0.18736,0.45178,-0.22314,7.7028,31.4388,0.45478,0.17476,-0.55944,-0.67057,140,2,pattern_catalogue_doublestarM6_3_MUC4_5_PUC0_1,3,0.1,1.3,12,5,0.65,2457426.1267,1,0,60.5984,4647046.1612,-4935704.7219,1389341.7078,5630.3196,4942.0401,-1232.2385,11.7157,-49.335,542746.5582,0.86012,-0.15523,0.4215,-0.24172,4.5208,36.6188,-0.41313,-0.19919,0.57214,0.67993,0.079611,5.8867,5.8222,
2016-05-17 10:28:37,07-Feb-2016 15:02:40,56B75C90,1,520,2016020715,2,119,9,1,0.017012,18,1,0.0020127,3,116,151,153,0.84324,-0.18744,0.45207,-0.22237,9,1,0.84328,-0.1874,0.45168,-0.22304,7.7178,31.4482,0.45482,0.17489,-0.55944,-0.6705,140,2,pattern_catalogue_doublestarM6_3_MUC4_5_PUC0_1,3,0.1,1.3,12,5,0.65,2457426.1269,1,0,61.0251,4703069.1473,-4885987.5792,1376935.4705,5574.0229,5001.1762,-1248.9405,11.6108,-48.744,542817.5718,0.86012,-0.15523,0.4215,-0.24172,4.5212,36.6186,-0.41313,-0.19919,0.57214,0.67993,0.087926,5.8787,5.8196,
