TimeOfProc,UTC,File,CRC,DataSize,MissionID,STEUMod,InternalTime,centroid_numStars,liebe_succeed,liebe_sraTime,liebe_possibleMatch,liebeAD_succeed,liebeAD_vfyTime,liebeAD_numStarsSRA,liebeAD_ID1,liebeAD_ID2,liebeAD_ID3,liebeAD_Qeci2stsCoarse_w,liebeAD_Qeci2stsCoarse_i,liebeAD_Qeci2stsCoarse_j,liebeAD_Qeci2stsCoarse_k,liebeAD_numStarsVfyAD,liebeAD_qualityliebeAD_Qeci2sts_w,liebeAD_Qeci2sts_i,liebeAD_Qeci2sts_j,liebeAD_Qeci2sts_k,liebeProc_boreRA,liebeProc_boreDEC,liebeProc_Qeci2sat_w,liebeProc_Qeci2sat_i,liebeProc_Qeci2sat_j,liebeProc_Qeci2sat_k,centThresh_maxInt,centThresh_areaLargerThan,liebe_cat,liebeTol_minStar,liebeTol_angDist,liebeTol_coneDist,vfyTol_minDist,vfyTol_minStar,vfyTol_minQuality,pred_jday,pred_canSTS,pred_isSSA,pred_ELA,pred_x_ECI,pred_y_ECI,pred_z_ECI,pred_vx_ECI,pred_vy_ECI,pred_vz_ECI,pred_lat,pred_long,pred_alt,pred_Qeci2sts_w,pred_Qeci2sts_i,pred_Qeci2sts_j,pred_Qeci2sts_k,pred_boreRA,pred_boreDEC,pred_Qeci2sat_w,pred_Qeci2sat_i,pred_Qeci2sat_j,pred_Qeci2sat_k,adVcoarse,coarseVpred,adVpred,
2016-04-27 18:27:07,27-Feb-2016 08:16:10,56D15B4A,1,584,2016022708,1,29,8,1,0.016545,7,1,0.011045,3,5736,5715,5692,0.1962,0.2369,-0.29882,0.90338,8,1,0.19568,0.23677,-0.29885,0.90351,296.1685,45.1744,-0.39761,-0.4169,0.50668,0.64139,204,3,pattern_catalogue_doublestarM6_3_MUC4_5_PUC0_1,3,0.1,1.3,12,5,0.65,2457445.8446,0,0,38.9192,-4258856.1613,-5435719.5333,-365103.981,5851.0438,-4445.4987,-1931.7149,-3.099,-48.5219,536997.7671,0.21027,0.23785,-0.29962,0.89969,295.2893,45.0161,-0.39239,-0.40539,0.51085,0.64863,0.063215,1.6734,1.7354,
2016-04-27 18:27:07,27-Feb-2016 08:16:20,56D15B54,1,552,2016022708,1,39,9,1,0.016705,7,1,0.011279,3,5736,5715,5692,0.19574,0.23688,-0.29852,0.90358,8,0.88889,0.19579,0.23692,-0.29837,0.90361,296.2263,45.2097,-0.39798,-0.4166,0.50684,0.64122,204,3,pattern_catalogue_doublestarM6_3_MUC4_5_PUC0_1,3,0.1,1.3,12,5,0.65,2457445.8447,0,0,39.196,-4200089.3049,-5479846.027,-384398.8888,5902.0987,-4379.6164,-1927.1784,-3.2594,-47.9537,536933.5982,0.21027,0.23785,-0.29962,0.89969,295.2894,45.0161,-0.39239,-0.4054,0.51085,0.64863,0.019046,1.7329,1.7289,
2016-04-27 18:27:07,27-Feb-2016 08:16:30,56D15B5E,1,520,2016022708,1,49,10,1,0.016712,7,1,0.011193,3,5736,5715,5692,0.19537,0.23693,-0.29817,0.90376,9,0.9,0.19557,0.23707,-0.29804,0.90373,296.2893,45.2302,-0.39836,-0.4166,0.50682,0.641,204,3,pattern_catalogue_doublestarM6_3_MUC4_5_PUC0_1,3,0.1,1.3,12,5,0.65,2457445.8448,0,0,39.4712,-4140815.6848,-5523310.857,-403647.1859,5952.4424,-4313.2038,-1922.4085,-3.4193,-47.3853,536869.8631,0.21027,0.23785,-0.29962,0.89969,295.2895,45.0162,-0.3924,-0.4054,0.51085,0.64863,0.032952,1.7814,1.7582,
2016-04-27 18:27:07,27-Feb-2016 08:16:40,56D15B68,1,492,2016022708,1,59,7,1,0.016403,7,1,0.010994,3,5736,5715,5692,0.19552,0.23705,-0.298,0.90376,7,1,0.19595,0.23723,-0.29779,0.90368,296.3082,45.2414,-0.39847,-0.41617,0.50697,0.6411,204,3,pattern_catalogue_doublestarM6_3_MUC4_5_PUC0_1,3,0.1,1.3,12,5,0.65,2457445.8449,0,0,39.7447,-4081042.2066,-5566108.9365,-422846.6189,6002.0689,-4246.2686,-1917.4058,-3.5789,-46.8167,536806.5669,0.21027,0.23785,-0.29962,0.89969,295.2895,45.0162,-0.3924,-0.4054,0.51085,0.64863,0.059207,1.7655,1.7183,
2016-04-27 18:27:08,27-Feb-2016 08:16:50,56D15B72,1,528,2016022708,1,69,8,1,0.01651,7,1,0.010905,3,5736,5715,5692,0.19564,0.23722,-0.29768,0.90379,7,0.875,0.19576,0.23734,-0.29756,0.90377,296.3555,45.2559,-0.39876,-0.4162,0.50694,0.64092,204,3,pattern_catalogue_doublestarM6_3_MUC4_5_PUC0_1,3,0.1,1.3,12,5,0.65,2457445.845,0,0,40.0165,-4020775.8284,-5608235.2483,-441994.9392,6050.9725,-4178.8187,-1912.1709,-3.7381,-46.2479,536743.7148,0.21027,0.23785,-0.29962,0.89969,295.2896,45.0162,-0.3924,-0.4054,0.51085,0.64862,0.023623,1.7564,1.7448,
2016-04-27 18:27:08,27-Feb-2016 08:17:00,56D15B7C,1,524,2016022708,1,79,10,1,0.016456,7,1,0.010937,3,5736,5715,5692,0.19609,0.23745,-0.29733,0.90375,9,0.9,0.19583,0.23744,-0.2973,0.90382,296.3882,45.2732,-0.39896,-0.41602,0.50702,0.64085,204,3,pattern_catalogue_doublestarM6_3_MUC4_5_PUC0_1,3,0.1,1.3,12,5,0.65,2457445.8451,0,0,40.2866,-3960024.2968,-5649684.349,-461089.6734,6099.1468,-4110.8627,-1906.7043,-3.8969,-45.6788,536681.3127,0.21027,0.23785,-0.29962,0.89969,295.2897,45.0163,-0.3924,-0.4054,0.51085,0.64862,0.031539,1.7102,1.7417,
2016-04-27 18:27:08,27-Feb-2016 08:17:10,56D15B86,1,500,2016022708,1,89,8,1,0.016666,7,1,0.010834,3,5736,5715,5692,0.19623,0.23739,-0.29718,0.90378,7,0.875,0.19628,0.23749,-0.29707,0.90378,296.3868,45.2919,-0.39897,-0.41559,0.50726,0.64093,204,3,pattern_catalogue_doublestarM6_3_MUC4_5_PUC0_1,3,0.1,1.3,12,5,0.65,2457445.8453,0,0,40.5549,-3898794.4439,-5690451.5494,-480128.662,6146.5862,-4042.4082,-1901.0067,-4.0552,-45.1095,536619.365,0.21027,0.23785,-0.29962,0.89969,295.2898,45.0163,-0.3924,-0.4054,0.51085,0.64862,0.017752,1.6995,1.6959,
2016-04-27 18:27:08,27-Feb-2016 08:17:20,56D15B90,1,512,2016022708,1,99,8,1,0.016566,6,1,0.0094921,3,5736,5715,5692,0.19573,0.23716,-0.29701,0.90401,8,1,0.19631,0.23739,-0.29671,0.90392,296.4094,45.3336,-0.39915,-0.41549,0.5075,0.6407,204,3,pattern_catalogue_doublestarM6_3_MUC4_5_PUC0_1,3,0.1,1.3,12,5,0.65,2457445.8454,0,0,40.8214,-3837094.1411,-5730531.5806,-499109.4454,6193.2847,-3973.4641,-1895.0789,-4.2131,-44.54,536557.8773,0.21027,0.23785,-0.29962,0.89969,295.2899,45.0163,-0.3924,-0.4054,0.51085,0.64862,0.079662,1.7647,1.705,
2016-04-27 18:27:09,27-Feb-2016 08:17:30,56D15B9A,1,504,2016022708,1,109,8,1,0.017098,7,1,0.011249,3,5736,5715,5692,0.19662,0.23744,-0.29663,0.90387,8,1,0.19657,0.23751,-0.29657,0.90388,296.4204,45.3383,-0.39922,-0.41519,0.50758,0.64078,204,3,pattern_catalogue_doublestarM6_3_MUC4_5_PUC0_1,3,0.1,1.3,12,5,0.65,2457445.8455,0,0,41.086,-3774930.5795,-5769919.7502,-518029.8008,6239.2367,-3904.0383,-1888.9214,-4.3705,-43.9702,536496.8541,0.21027,0.23785,-0.29962,0.89969,295.29,45.0164,-0.3924,-0.4054,0.51085,0.64862,0.01143,1.6718,1.6778,
2016-04-27 18:27:09,27-Feb-2016 08:17:40,56D15BA4,1,516,2016022708,1,119,10,1,0.016649,7,1,0.010854,3,5736,5715,5692,0.19566,0.23708,-0.29676,0.90413,10,1,0.19667,0.23746,-0.29638,0.90393,296.4272,45.3608,-0.39928,-0.41508,0.50774,0.64069,204,3,pattern_catalogue_doublestarM6_3_MUC4_5_PUC0_1,3,0.1,1.3,12,5,0.65,2457445.8456,0,1,41.3488,-3712310.9987,-5808611.438,-536887.5117,6284.4369,-3834.139,-1882.5351,-4.5274,-43.4001,536436.2998,0.21026,0.23785,-0.29962,0.89969,295.29,45.0164,-0.3924,-0.4054,0.51085,0.64862,0.13248,1.7818,1.6746,
