TimeOfProc,UTC,File,CRC,DataSize,MissionID,STEUMod,InternalTime,centroid_numStars,liebe_succeed,liebe_sraTime,liebe_possibleMatch,liebeAD_succeed,liebeAD_vfyTime,liebeAD_numStarsSRA,liebeAD_ID1,liebeAD_ID2,liebeAD_ID3,liebeAD_Qeci2stsCoarse_w,liebeAD_Qeci2stsCoarse_i,liebeAD_Qeci2stsCoarse_j,liebeAD_Qeci2stsCoarse_k,liebeAD_numStarsVfyAD,liebeAD_qualityliebeAD_Qeci2sts_w,liebeAD_Qeci2sts_i,liebeAD_Qeci2sts_j,liebeAD_Qeci2sts_k,liebeProc_boreRA,liebeProc_boreDEC,liebeProc_Qeci2sat_w,liebeProc_Qeci2sat_i,liebeProc_Qeci2sat_j,liebeProc_Qeci2sat_k,centThresh_maxInt,centThresh_areaLargerThan,liebe_cat,liebeTol_minStar,liebeTol_angDist,liebeTol_coneDist,vfyTol_minDist,vfyTol_minStar,vfyTol_minQuality,pred_jday,pred_canSTS,pred_isSSA,pred_ELA,pred_x_ECI,pred_y_ECI,pred_z_ECI,pred_vx_ECI,pred_vy_ECI,pred_vz_ECI,pred_lat,pred_long,pred_alt,pred_Qeci2sts_w,pred_Qeci2sts_i,pred_Qeci2sts_j,pred_Qeci2sts_k,pred_boreRA,pred_boreDEC,pred_Qeci2sat_w,pred_Qeci2sat_i,pred_Qeci2sat_j,pred_Qeci2sat_k,adVcoarse,coarseVpred,adVpred,
2016-04-27 18:20:39,22-Jan-2016 12:18:09,56A21E01,1,640,2016012212,1,29,6,1,0.01681,4,1,0.0037311,3,4947,4966,4887,0.46671,0.17032,-0.44577,0.74462,6,1,0.46571,0.16974,-0.44585,0.74533,258.8445,33.0117,-0.1331,-0.24644,0.53518,0.79695,204,3,pattern_catalogue_doublestarM6_3_MUC4_5_PUC0_1,3,0.1,1.3,12,5,0.65,2457410.0126,0,0,31.105,-6661703.6741,-909423.2788,-1644804.4271,1193.7967,-7458.411,-747.7276,-13.9173,-117.8495,544850.5619,0.4683,0.18001,-0.45664,0.73469,259.0002,31.2091,-0.12854,-0.242,0.52172,0.80791,0.1559,2.0273,2.1183,
2016-04-27 18:20:39,22-Jan-2016 12:18:19,56A21E0B,1,632,2016012212,1,39,7,1,0.019141,24,1,0.035126,3,4947,4878,4887,0.46736,0.17013,-0.44598,0.74413,7,1,0.46614,0.16954,-0.44612,0.74494,258.772,32.9878,-0.13252,-0.24614,0.53518,0.79714,204,3,pattern_catalogue_doublestarM6_3_MUC4_5_PUC0_1,3,0.1,1.3,12,5,0.65,2457410.0127,0,0,31.5808,-6649365.1358,-983951.6309,-1652182.4292,1273.8716,-7447.0213,-727.8389,-13.9802,-117.2474,544947.8709,0.4683,0.18001,-0.45664,0.73469,259.0004,31.2092,-0.12854,-0.242,0.52172,0.80791,0.18176,1.9875,2.081,
2016-04-27 18:20:39,22-Jan-2016 12:18:29,56A21E15,1,592,2016012212,1,49,7,1,0.016618,4,1,0.0036167,3,4947,4966,4887,0.467,0.16989,-0.44617,0.7443,7,1,0.46649,0.16957,-0.44622,0.74466,258.7421,32.9752,-0.13227,-0.2458,0.53513,0.79732,204,3,pattern_catalogue_doublestarM6_3_MUC4_5_PUC0_1,3,0.1,1.3,12,5,0.65,2457410.0128,0,0,32.0561,-6636226.563,-1058361.9059,-1659361.1337,1353.7904,-7434.736,-707.8632,-14.0414,-116.6449,545044.337,0.4683,0.18001,-0.45663,0.73469,259.0007,31.2093,-0.12855,-0.242,0.52172,0.80791,0.080524,2.0036,2.0505,
2016-04-27 18:20:39,22-Jan-2016 12:18:39,56A21E1F,1,588,2016012212,1,59,8,1,0.016988,4,1,0.0038389,3,4947,4966,4887,0.46716,0.16983,-0.44607,0.74427,8,1,0.46689,0.16958,-0.44612,0.74447,258.719,32.9865,-0.13213,-0.24539,0.53523,0.79741,204,3,pattern_catalogue_doublestarM6_3_MUC4_5_PUC0_1,3,0.1,1.3,12,5,0.65,2457410.013,0,0,32.5309,-6622289.6744,-1132644.558,-1666339.6249,1433.5428,-7421.5568,-687.8029,-14.1008,-116.0421,545139.9446,0.4683,0.18001,-0.45663,0.73469,259.0009,31.2094,-0.12855,-0.242,0.52172,0.80791,0.048383,2.0115,2.0396,
2016-04-27 18:20:40,22-Jan-2016 12:18:49,56A21E29,1,560,2016012212,1,69,6,1,0.017295,27,1,0.026161,3,4947,4887,4933,0.46773,0.16981,-0.44577,0.7441,6,1,0.46655,0.16918,-0.44603,0.74482,258.709,33.0159,-0.13217,-0.24585,0.53551,0.79707,204,3,pattern_catalogue_doublestarM6_3_MUC4_5_PUC0_1,3,0.1,1.3,12,5,0.65,2457410.0131,0,0,33.0052,-6607556.1274,-1206790.9557,-1673117.0982,1513.1195,-7407.4854,-667.6605,-14.1586,-115.439,545234.6794,0.4683,0.18001,-0.45663,0.7347,259.0011,31.2095,-0.12855,-0.242,0.52172,0.80791,0.17601,2.02,2.0984,
2016-04-27 18:20:40,22-Jan-2016 12:18:59,56A21E33,1,564,2016012212,1,79,8,1,0.016813,12,1,0.011511,3,4947,4966,4908,0.46742,0.16967,-0.44594,0.74423,8,1,0.46688,0.16926,-0.446,0.74462,258.6944,33.0161,-0.13206,-0.24549,0.53551,0.7972,204,3,pattern_catalogue_doublestarM6_3_MUC4_5_PUC0_1,3,0.1,1.3,12,5,0.65,2457410.0132,0,0,33.479,-6592027.6623,-1280792.4825,-1679692.7702,1592.5113,-7392.5234,-647.4383,-14.2146,-114.8356,545328.5273,0.4683,0.18001,-0.45663,0.7347,259.0013,31.2096,-0.12855,-0.242,0.52172,0.80791,0.089828,2.0268,2.0789,
2016-04-27 18:20:40,22-Jan-2016 12:19:09,56A21E3D,1,572,2016012212,1,89,6,1,0.017723,29,1,0.026565,3,4947,4887,4933,0.46826,0.16972,-0.44572,0.74381,6,1,0.46684,0.16896,-0.44603,0.7447,258.6636,33.0264,-0.13189,-0.24565,0.53568,0.79706,204,3,pattern_catalogue_doublestarM6_3_MUC4_5_PUC0_1,3,0.1,1.3,12,5,0.65,2457410.0133,0,0,33.9521,-6575706.3031,-1354639.647,-1686065.8028,1671.7082,-7376.6728,-627.1388,-14.2689,-114.2318,545421.4734,0.4683,0.18001,-0.45663,0.7347,259.0016,31.2097,-0.12855,-0.242,0.52172,0.80791,0.21389,2.011,2.1028,
2016-04-27 18:20:40,22-Jan-2016 12:19:19,56A21E47,1,552,2016012212,1,99,8,1,0.01665,11,1,0.010757,3,4947,4966,4908,0.46767,0.16953,-0.4459,0.74412,8,1,0.46705,0.16906,-0.44598,0.74457,258.661,33.0271,-0.13186,-0.2454,0.53566,0.79715,204,3,pattern_catalogue_doublestarM6_3_MUC4_5_PUC0_1,3,0.1,1.3,12,5,0.65,2457410.0134,0,0,34.4247,-6558593.9834,-1428323.8706,-1692235.4621,1750.7008,-7359.9356,-606.7645,-14.3214,-113.6278,545513.5039,0.4683,0.18001,-0.45663,0.7347,259.0018,31.2098,-0.12855,-0.242,0.52172,0.80791,0.10366,2.0312,2.0891,
2016-04-27 18:20:40,22-Jan-2016 12:19:29,56A21E51,1,556,2016012212,1,109,6,1,0.017125,30,1,0.026382,3,4947,4887,4933,0.46813,0.16945,-0.44582,0.7439,6,1,0.46687,0.16878,-0.44609,0.74468,258.6386,33.0266,-0.13172,-0.2457,0.53575,0.79703,204,3,pattern_catalogue_doublestarM6_3_MUC4_5_PUC0_1,3,0.1,1.3,12,5,0.65,2457410.0135,0,0,34.8966,-6540692.7184,-1501836.5922,-1698201.0354,1829.4802,-7342.3137,-586.3177,-14.3722,-113.0236,545604.6053,0.4683,0.18001,-0.45663,0.7347,259.002,31.2099,-0.12856,-0.242,0.52172,0.80791,0.18858,2.028,2.1093,
2016-04-27 18:20:41,22-Jan-2016 12:19:39,56A21E5B,1,576,2016012212,1,119,6,1,0.020722,28,1,0.031448,3,4947,4887,4933,0.46818,0.16916,-0.44578,0.74396,6,1,0.46688,0.16844,-0.44607,0.74477,258.6048,33.0455,-0.13155,-0.24581,0.53599,0.79686,204,3,pattern_catalogue_doublestarM6_3_MUC4_5_PUC0_1,3,0.1,1.3,12,5,0.65,2457410.0136,0,0,35.3678,-6522004.8357,-1575168.3852,-1703961.763,1908.0362,-7323.8094,-565.8011,-14.4212,-112.419,545694.7633,0.4683,0.18001,-0.45663,0.7347,259.0022,31.2099,-0.12856,-0.242,0.52173,0.8079,0.19679,2.0531,2.1399,
