TimeOfProc,UTC,File,CRC,DataSize,MissionID,STEUMod,InternalTime,centroid_numStars,liebe_succeed,liebe_sraTime,liebe_possibleMatch,liebeAD_succeed,liebeAD_vfyTime,liebeAD_numStarsSRA,liebeAD_ID1,liebeAD_ID2,liebeAD_ID3,liebeAD_Qeci2stsCoarse_w,liebeAD_Qeci2stsCoarse_i,liebeAD_Qeci2stsCoarse_j,liebeAD_Qeci2stsCoarse_k,liebeAD_numStarsVfyAD,liebeAD_quality,liebeAD_Qeci2sts_w,liebeAD_Qeci2sts_i,liebeAD_Qeci2sts_j,liebeAD_Qeci2sts_k,liebeProc_boreRA,liebeProc_boreDEC,liebeProc_Qeci2sat_w,liebeProc_Qeci2sat_i,liebeProc_Qeci2sat_j,liebeProc_Qeci2sat_k,centThresh_maxInt,centThresh_areaLargerThan,liebe_cat,liebeTol_minStar,liebeTol_angDist,liebeTol_coneDist,vfyTol_minDist,vfyTol_minStar,vfyTol_minQuality,pred_jday,pred_canSTS,pred_isSSA,pred_ELA,pred_x_ECI,pred_y_ECI,pred_z_ECI,pred_vx_ECI,pred_vy_ECI,pred_vz_ECI,pred_lat,pred_long,pred_alt,pred_Qeci2sts_w,pred_Qeci2sts_i,pred_Qeci2sts_j,pred_Qeci2sts_k,pred_boreRA,pred_boreDEC,pred_Qeci2sat_w,pred_Qeci2sat_i,pred_Qeci2sat_j,pred_Qeci2sat_k,adVcoarse,coarseVpred,adVpred,
2016-05-16 15:23:48,21-Feb-2016 01:45:35,56C916BF,1,820,2016022101,2,29,13,1,0.022846,32,1,0.066188,3,280,332,289,0.9122,-0.15519,0.3516,-0.14208,13,1,0.91213,-0.1549,0.35168,-0.14266,14.8831,44.8019,0.43853,0.31859,-0.55051,-0.63493,200,2,pattern_catalogue_doublestarM6_3_MUC4_5_PUC0_1,3,0.1,1.3,12,5,0.65,2457439.5733,0,0,44.5078,6140634.0625,-2686660.9608,-1699536.8229,2892.7343,6995.927,-643.6725,-14.2292,159.7576,537911.3442,0.90851,-0.16088,0.35446,-0.15195,14.9171,44.1831,-0.43845,-0.30859,0.55702,0.63424,0.075316,1.4107,1.3693,
2016-05-16 15:23:49,21-Feb-2016 01:45:45,56C916C9,1,800,2016022101,2,39,12,1,0.017659,11,1,0.0041969,3,289,332,363,0.91215,-0.15559,0.35121,-0.14291,12,1,0.91216,-0.15496,0.35168,-0.14242,14.9049,44.7989,0.43869,0.31872,-0.55038,-0.63486,200,2,pattern_catalogue_doublestarM6_3_MUC4_5_PUC0_1,3,0.1,1.3,12,5,0.65,2457439.5734,0,0,44.7617,6169190.4519,-2616540.6635,-1705870.6488,2818.4592,7027.9257,-623.0684,-14.283,160.3627,538009.9129,0.90851,-0.16088,0.35446,-0.15195,14.9168,44.1834,-0.43845,-0.3086,0.55702,0.63424,0.10694,1.3231,1.3887,
2016-05-16 15:23:49,21-Feb-2016 01:45:55,56C916D3,1,796,2016022101,2,49,11,1,0.017793,19,1,0.0075516,3,289,332,179,0.91229,-0.15503,0.35149,-0.14193,11,1,0.91216,-0.1549,0.35175,-0.14226,14.9039,44.794,0.43877,0.31878,-0.55024,-0.6349,200,2,pattern_catalogue_doublestarM6_3_MUC4_5_PUC0_1,3,0.1,1.3,12,5,0.65,2457439.5736,1,0,45.0132,6197002.505,-2546104.3371,-1711998.0822,2743.8468,7059.0751,-602.3898,-14.3352,160.9682,538108.4116,0.90851,-0.16087,0.35446,-0.15195,14.9165,44.1838,-0.43845,-0.3086,0.55702,0.63424,0.052393,1.4386,1.4042,
2016-05-16 15:23:50,21-Feb-2016 01:46:05,56C916DD,1,724,2016022101,2,59,11,1,0.017535,16,1,0.0036352,3,289,332,363,0.91213,-0.15579,0.35124,-0.14275,11,1,0.91216,-0.15509,0.35181,-0.1419,14.9473,44.7778,0.4391,0.31889,-0.55008,-0.63475,200,2,pattern_catalogue_doublestarM6_3_MUC4_5_PUC0_1,3,0.1,1.3,12,5,0.65,2457439.5737,1,0,45.2623,6224066.6729,-2475361.0609,-1717918.3409,2668.9067,7089.3713,-581.6392,-14.3855,161.5739,538206.8248,0.90851,-0.16087,0.35445,-0.15195,14.9162,44.1841,-0.43845,-0.3086,0.55702,0.63424,0.14087,1.3258,1.4248,
2016-05-16 15:23:50,21-Feb-2016 01:46:15,56C916E7,1,724,2016022101,2,69,8,1,0.017674,14,1,0.003554,3,289,332,356,0.91201,-0.15611,0.35119,-0.14327,8,1,0.91213,-0.15516,0.35197,-0.14161,14.9649,44.7558,0.43936,0.31892,-0.54987,-0.63474,200,2,pattern_catalogue_doublestarM6_3_MUC4_5_PUC0_1,3,0.1,1.3,12,5,0.65,2457439.5738,1,0,45.509,6250379.8346,-2404319.1009,-1723630.7422,2593.6478,7118.8108,-560.8191,-14.4341,162.1799,538305.1383,0.90851,-0.16087,0.35445,-0.15194,14.916,44.1844,-0.43844,-0.30861,0.55702,0.63424,0.237,1.2591,1.4431,
2016-05-16 15:23:51,21-Feb-2016 01:46:25,56C916F1,1,692,2016022101,2,79,10,1,0.01774,30,1,0.0038386,3,280,332,289,0.9123,-0.15532,0.35186,-0.14066,10,1,0.91221,-0.15505,0.35199,-0.1412,14.9736,44.7588,0.43952,0.3192,-0.54958,-0.63475,200,2,pattern_catalogue_doublestarM6_3_MUC4_5_PUC0_1,3,0.1,1.3,12,5,0.65,2457439.5739,1,0,45.7532,6275938.9477,-2332986.7537,-1729134.6255,2518.0787,7147.3903,-539.9319,-14.481,162.7862,538403.338,0.90852,-0.16086,0.35445,-0.15194,14.9157,44.1847,-0.43844,-0.30861,0.55702,0.63424,0.07212,1.5338,1.4894,
2016-05-16 15:23:51,21-Feb-2016 01:46:35,56C916FB,1,700,2016022101,2,89,10,1,0.017773,31,1,0.0036095,3,280,332,289,0.9123,-0.15538,0.35189,-0.14048,10,1,0.91221,-0.15512,0.35202,-0.14103,14.9923,44.7524,0.43966,0.31926,-0.54949,-0.63469,200,2,pattern_catalogue_doublestarM6_3_MUC4_5_PUC0_1,3,0.1,1.3,12,5,0.65,2457439.574,1,0,45.9949,6300740.7543,-2261373.2117,-1734429.2891,2442.2092,7175.1062,-518.9804,-14.526,163.3927,538501.4086,0.90852,-0.16086,0.35445,-0.15194,14.9154,44.185,-0.43844,-0.30861,0.55702,0.63424,0.071562,1.5473,1.5015,
2016-05-16 15:23:52,21-Feb-2016 01:46:45,56C91705,1,692,2016022101,2,99,9,1,0.017571,15,1,0.0033852,3,289,332,356,0.91206,-0.15625,0.35142,-0.14224,9,1,0.91217,-0.15531,0.35212,-0.14083,15.0249,44.731,0.43993,0.31924,-0.54941,-0.63458,200,2,pattern_catalogue_doublestarM6_3_MUC4_5_PUC0_1,3,0.1,1.3,12,5,0.65,2457439.5741,1,0,46.234,6324782.3979,-2189486.8401,-1739514.124,2366.0483,7201.9552,-497.9669,-14.5693,163.9994,538599.3363,0.90852,-0.16086,0.35445,-0.15194,14.9151,44.1853,-0.43844,-0.30861,0.55701,0.63424,0.21074,1.3413,1.5077,
2016-05-16 15:23:53,21-Feb-2016 01:46:55,56C9170F,1,684,2016022101,2,109,10,1,0.017537,11,1,0.0034773,3,289,332,363,0.9122,-0.15603,0.35154,-0.1413,10,1,0.91219,-0.15549,0.35205,-0.14069,15.0619,44.7304,0.44008,0.31931,-0.54943,-0.63442,200,2,pattern_catalogue_doublestarM6_3_MUC4_5_PUC0_1,3,0.1,1.3,12,5,0.65,2457439.5742,1,0,46.4705,6348061.1019,-2117336.0319,-1744388.5427,2289.6048,7227.9344,-476.894,-14.6107,164.6064,538697.1073,0.90852,-0.16085,0.35445,-0.15194,14.9148,44.1856,-0.43844,-0.30862,0.55701,0.63424,0.10972,1.4429,1.5144,
2016-05-16 15:23:53,21-Feb-2016 01:47:05,56C91719,1,668,2016022101,2,119,11,1,0.01763,15,1,0.0036681,3,289,332,356,0.91208,-0.15652,0.35136,-0.14198,11,1,0.91224,-0.15542,0.35207,-0.14038,15.0701,44.732,0.44021,0.31951,-0.54922,-0.63442,200,2,pattern_catalogue_doublestarM6_3_MUC4_5_PUC0_1,3,0.1,1.3,12,5,0.65,2457439.5744,1,0,46.7045,6370573.9023,-2044930.0828,-1749051.9252,2212.8886,7253.0405,-455.7644,-14.6504,165.2135,538794.7067,0.90852,-0.16085,0.35445,-0.15194,14.9145,44.186,-0.43843,-0.30862,0.55701,0.63425,0.23718,1.357,1.5485,
